Gene FC_M1vsM0 p.value_M1vsM0 FC_M2vsM0 p.value_M2vsM0
Cd38 28.87 8.02E-04 0.24 6.31E-03
Cfb 18.92 4.20E-04 0.30 3.29E-02
Slfn4 14.40 7.69E-03 0.19 2.29E-04
H2-Q6 11.25 5.94E-03 0.44 1.30E-02
Fpr1 9.97 8.40E-04 0.10 3.41E-03
Slfn1 9.46 1.66E-04 0.20 1.79E-02
Gpr18 8.78 1.15E-04 0.39 1.10E-02
Ccrl2 8.58 6.02E-03 0.41 8.07E-03
Fpr2 8.23 2.00E-05 0.04 5.72E-03
Cxcl10 7.95 2.13E-04 0.10 1.45E-02
Mpa2l 7.38 1.19E-03 0.25 5.50E-03
Mpa2l 6.80 1.06E-03 0.13 8.11E-03
Oasl 6.47 1.79E-04 0.16 3.32E-02
Tlr2 5.71 1.74E-03 0.39 6.69E-03
Ms4a4c 5.47 4.61E-05 0.06 6.60E-03
Ms4a4c 4.98 9.04E-04 0.03 8.41E-03
LOC100503664 4.94 1.01E-04 0.33 6.87E-04
Irak3 4.89 1.46E-05 0.42 1.25E-02
Irak3 4.85 2.75E-04 0.44 1.59E-03
Hp 4.79 5.23E-04 0.23 4.36E-02
Itgal 4.63 5.17E-04 0.43 1.19E-02
Herc6 4.45 1.98E-03 0.33 4.90E-02
Herc6 4.37 2.21E-04 0.35 1.08E-02
Cd300lf 4.31 2.74E-03 0.40 1.41E-02
Isf20 4.26 5.89E-04 0.12 1.11E-02
Pstpip2 4.17 7.79E-06 0.33 9.87E-04
Cp 4.12 4.21E-03 0.34 4.34E-02
Isg15 4.11 1.55E-04 0.15 1.68E-02
Herc6 4.05 3.64E-03 0.36 4.39E-02
Cp 3.80 2.47E-03 0.35 6.16E-03
Cp 3.74 8.27E-04 0.41 8.82E-03
Ifi44 3.68 6.07E-03 0.13 6.81E-03
Pstpip2 3.67 5.55E-04 0.43 9.84E-03
Cp 3.65 1.02E-03 0.38 5.33E-03
E030037K03Rik 3.54 4.68E-03 0.16 8.31E-03
Saa3 3.50 5.83E-05 0.15 8.31E-03
Ifit1 3.48 5.03E-04 0.06 1.79E-02
Cp 3.46 5.25E-03 0.33 9.09E-03
Marco 3.44 2.70E-03 0.15 9.22E-04
F11r 3.43 1.98E-02 0.41 9.84E-03
Marco 3.33 2.37E-03 0.20 2.49E-03
Rsad2 3.03 1.75E-03 0.09 1.72E-02
Ddx60 2.89 6.52E-04 0.23 1.11E-02
Pilr1 2.89 1.22E-04 0.44 1.39E-02
Cpd 2.85 9.18E-03 0.36 1.18E-02
Fam26f 2.82 5.24E-03 0.23 2.95E-03
Aoah 2.65 6.33E-03 0.31 2.14E-03
Cpd 2.56 1.67E-03 0.34 2.17E-03
Gngt2 2.55 4.37E-04 0.20 2.96E-03
Mx1 2.49 1.46E-02 0.15 1.04E-02
Pyhin1 2.48 5.26E-03 0.20 7.00E-03
Cpd 2.48 9.04E-04 0.34 1.57E-03
Rsad2 2.47 9.79E-04 0.07 7.47E-03
EPB41L3 2.47 1.89E-02 0.50 2.07E-02
Slfn8 2.42 1.28E-04 0.24 2.48E-03
Arhgap24 2.38 6.48E-04 0.36 2.53E-03
Ddx60 2.36 7.01E-03 0.29 4.74E-03
Nfkbiz 2.34 2.68E-02 0.34 8.91E-04
Gbp6 2.31 2.54E-03 0.37 2.54E-02
Stat1 2.27 1.92E-03 0.27 2.27E-02
Zpb1 2.27 1.22E-03 0.25 9.01E-03
Cpd 2.27 2.77E-03 0.27 8.28E-04
D14Erd668e 2.22 2.74E-03 0.21 3.41E-03
Ddx58 2.22 7.19E-03 0.43 2.46E-02
Tuba4a 2.18 3.43E-03 0.33 1.07E-02
Tuba4a 2.14 1.30E-03 0.38 4.28E-03
Nfkbiz 2.14 4.04E-03 0.14 1.24E-03
H2-T10 2.14 2.67E-03 0.44 4.41E-03
Ebi3 2.13 1.10E-02 0.33 3.28E-04
Rsad2 2.12 1.71E-03 0.08 5.15E-03
Stat1 2.11 5.28E-03 0.34 3.41E-02
EVA1B 2.11 2.06E-03 0.49 5.71E-03
Xaf1 2.09 8.74E-04 0.25 8.04E-04
Gbp6 2.08 2.72E-03 0.44 2.13E-02
Stat2 2.08 2.93E-03 0.45 3.12E-02
MSRB1 2.01 3.29E-04 0.47 8.53E-03
Ifit2 2.01 9.28E-03 0.04 1.28E-02
